period,entity,scope,accounting_basis,metric,value,unit,status,source_file,source_page,source_table,note
2022R,人保财险,年度整体,新准则重述比较期,保险服务收入,424355,人民币百万元,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2022R,人保财险,年度整体,新准则重述比较期,保险服务费用,-395966,人民币百万元,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2022R,人保财险,年度整体,新准则重述比较期,分出再保险净损益,-5993,人民币百万元,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2022R,人保财险,年度整体,新准则重述比较期,承保利润,14364,人民币百万元,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2022R,人保财险,年度整体,新准则重述比较期,综合成本率,96.6,%,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2022R,人保财险,年度整体,新准则重述比较期,赔付率,69.4,%,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2022R,人保财险,年度整体,新准则重述比较期,费用率,27.2,%,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2023,人保财险,年度整体,新准则,保险服务收入,457203,人民币百万元,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2023,人保财险,年度整体,新准则,保险服务费用,-431991,人民币百万元,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2023,人保财险,年度整体,新准则,分出再保险净损益,-6142,人民币百万元,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2023,人保财险,年度整体,新准则,承保利润,10189,人民币百万元,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2023,人保财险,年度整体,新准则,综合成本率,97.8,%,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2023,人保财险,年度整体,新准则,赔付率,70.6,%,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2023,人保财险,年度整体,新准则,费用率,27.2,%,直接披露,人保财险_年报_2023.pdf,PDF 第13页（报告印刷页码11）,承保业绩表,
2024,人保财险,年度整体,新准则,保险服务收入,485223,人民币百万元,直接披露,人保财险_年报_2024.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2024,人保财险,年度整体,新准则,保险服务费用,-465392,人民币百万元,直接披露,人保财险_年报_2024.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2024,人保财险,年度整体,新准则,分出再保险净损益,-5451,人民币百万元,直接披露,人保财险_年报_2024.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2024,人保财险,年度整体,新准则,承保利润,5713,人民币百万元,直接披露,人保财险_年报_2024.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
2024,人保财险,年度整体,新准则,综合成本率,98.8,%,直接披露,人保财险_年报_2024.pdf,PDF 第14页（报告印刷页码12）,承保业绩表,
