period,entity,scope,accounting_basis,metric,value,unit,status,source_file,source_page,source_table,note
2022Q1,平安产险,季度累计,偿付能力口径,保险业务收入_YTD,73032.11,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q1,平安产险,季度累计,偿付能力口径,净利润_YTD,3389.61,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q1,平安产险,季度累计,偿付能力口径,签单保费_YTD,77321.04,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q1,平安产险,季度累计,偿付能力口径,车险签单保费_YTD,49908.03,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q1,平安产险,季度累计,偿付能力口径,非车前五险种签单保费_YTD,22752.21,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q1,平安产险,季度累计,偿付能力口径,综合成本率,95.81,%,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,
2022Q1,平安产险,季度累计,偿付能力口径,费用率,27.68,%,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,
2022Q1,平安产险,季度累计,偿付能力口径,赔付率,68.13,%,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,
2022Q1,平安产险,季度累计,偿付能力口径,车险件均保费_YTD,2897,元/车,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第16页,主要经营指标表,
2022Q1,平安产险,季末,偿付能力口径,核心偿付能力充足率,167.5,%,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第14页,偿付能力充足率表,
2022Q1,平安产险,季末,偿付能力口径,综合偿付能力充足率,207.1,%,直接披露,平安产险_偿付能力报告_2022Q1.pdf,PDF 第14页,偿付能力充足率表,
2022Q2,平安产险,季度累计,偿付能力口径,保险业务收入_YTD,146806.46,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q2,平安产险,季度累计,偿付能力口径,净利润_YTD,9033.56,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q2,平安产险,季度累计,偿付能力口径,签单保费_YTD,155281.91,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q2,平安产险,季度累计,偿付能力口径,车险签单保费_YTD,101232.54,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q2,平安产险,季度累计,偿付能力口径,非车前五险种签单保费_YTD,43296.81,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q2,平安产险,季度累计,偿付能力口径,综合成本率,96.45,%,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,
2022Q2,平安产险,季度累计,偿付能力口径,费用率,27.34,%,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,
2022Q2,平安产险,季度累计,偿付能力口径,赔付率,69.11,%,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,
2022Q2,平安产险,季度累计,偿付能力口径,车险件均保费_YTD,2966,元/车,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第16-17页,主要经营指标表,
2022Q2,平安产险,季末,偿付能力口径,核心偿付能力充足率,172.7,%,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第15页,偿付能力充足率表,
2022Q2,平安产险,季末,偿付能力口径,综合偿付能力充足率,217.5,%,直接披露,平安产险_偿付能力报告_2022Q2.pdf,PDF 第15页,偿付能力充足率表,
2022Q3,平安产险,季度累计,偿付能力口径,保险业务收入_YTD,222056.67,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q3,平安产险,季度累计,偿付能力口径,净利润_YTD,11599.16,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q3,平安产险,季度累计,偿付能力口径,签单保费_YTD,234809.21,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q3,平安产险,季度累计,偿付能力口径,车险签单保费_YTD,154433.22,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q3,平安产险,季度累计,偿付能力口径,非车前五险种签单保费_YTD,63627.56,人民币百万元,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,原表金额单位为万元；本CSV统一换算为人民币百万元（÷100）。
2022Q3,平安产险,季度累计,偿付能力口径,综合成本率,97.22,%,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,
2022Q3,平安产险,季度累计,偿付能力口径,费用率,27.79,%,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,
2022Q3,平安产险,季度累计,偿付能力口径,赔付率,69.44,%,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,
2022Q3,平安产险,季度累计,偿付能力口径,车险件均保费_YTD,2967,元/车,直接披露,平安产险_偿付能力报告_2022Q3.pdf,PDF 第16-17页,主要经营指标表,
