period,entity,scope,accounting_basis,metric,value,unit,status,source_file,source_page,source_table,note
2022,平安产险,年度整体,旧准则（未重述）,原保险保费收入,298038,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,已赚保费,277620,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,赔付支出,-193976,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,手续费支出,-34277,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,业务及管理费,-54739,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,分保佣金收入,4484,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,承保利润,-888,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,综合成本率,100.3,%,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,费用率,30.4,%,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,赔付率,69.9,%,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,总投资收益,10014,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,税前利润,8234,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,净利润,8879,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,营运利润,8879,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022,平安产险,年度整体,旧准则（未重述）,总投资收益率,2.8,%,直接披露,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,保险服务收入,294222,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,保险服务费用,-284978,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,分出再保险净损益,-3423,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,承保财务及其他损益,-4739,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,承保利润,1082,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,综合成本率,99.6,%,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,费用率,28.3,%,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,赔付率,71.3,%,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,总投资收益,10014,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,税前利润,9878,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,净利润,10112,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,营运利润,10112,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,车险保险服务收入,197462,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,非车险保险服务收入,72650,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2022R,平安产险,年度整体,IFRS 17重述比较期；IFRS 9已先采用并含分类叠加调整,意外及健康险保险服务收入,24110,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,保险服务收入,313458,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,保险服务费用,-306390,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,分出再保险净损益,-3956,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,承保财务及其他损益,-5195,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,承保利润,-2083,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,综合成本率,100.7,%,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,费用率,29.2,%,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,赔付率,71.5,%,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,总投资收益,12316,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,税前利润,8818,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,净利润,8958,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,营运利润,8958,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,车险保险服务收入,209538,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,非车险保险服务收入,82041,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
2023,平安产险,年度整体,新准则,意外及健康险保险服务收入,21879,人民币百万元,直接披露,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,
