period,entity,scope,accounting_basis,metric,value,unit,status,source_file,source_page,source_table,note
2022,平安产险,车险,旧准则（未重述）,原保险保费收入,201298,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,车险,旧准则（未重述）,已赚保费,189233,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,车险,旧准则（未重述）,赔付支出,-130320,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,车险,旧准则（未重述）,承保利润,8032,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,车险,旧准则（未重述）,综合成本率,95.8,%,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,车险,旧准则（未重述）,责任准备金,174330,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,保证保险,旧准则（未重述）,原保险保费收入,21934,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,保证保险,旧准则（未重述）,已赚保费,28663,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,保证保险,旧准则（未重述）,赔付支出,-32711,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,保证保险,旧准则（未重述）,承保利润,-9013,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,保证保险,旧准则（未重述）,综合成本率,131.4,%,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,保证保险,旧准则（未重述）,责任准备金,43700,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,责任保险,旧准则（未重述）,原保险保费收入,21783,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,责任保险,旧准则（未重述）,已赚保费,17329,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
2022,平安产险,责任保险,旧准则（未重述）,赔付支出,-10616,人民币百万元,直接披露,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,
