period,dataset,metric,reason,source_file
2022-02,银保监会保险业经营情况表,财产险原保险保费/赔付支出,官方下载文件非有效Excel ZIP结构，LibreOffice亦无法读取；未用非白名单镜像填补。,监管总局_保险业经营情况表_2022-02.xlsx
2022-04,银保监会保险业经营情况表,财产险原保险保费/赔付支出,官方下载文件非有效Excel ZIP结构，LibreOffice亦无法读取；未用非白名单镜像填补。,监管总局_保险业经营情况表_2022-04.xlsx
2022-08,银保监会保险业经营情况表,财产险原保险保费/赔付支出,官方下载文件非有效Excel ZIP结构，LibreOffice亦无法读取；未用非白名单镜像填补。,监管总局_保险业经营情况表_2022-08.xlsx
2022-10,银保监会保险业经营情况表,财产险原保险保费/赔付支出,官方下载文件非有效Excel ZIP结构，LibreOffice亦无法读取；未用非白名单镜像填补。,监管总局_保险业经营情况表_2022-10.xlsx
2023-02,银保监会保险业经营情况表,财产险原保险保费/赔付支出,官方下载文件非有效Excel ZIP结构，LibreOffice亦无法读取；未用非白名单镜像填补。,监管总局_保险业经营情况表_2023-02.xlsx
2023-08,银保监会保险业经营情况表,财产险原保险保费/赔付支出,官方下载文件非有效Excel ZIP结构，LibreOffice亦无法读取；未用非白名单镜像填补。,监管总局_保险业经营情况表_2023-08.xlsx
2023-12,银保监会保险业经营情况表,财产险原保险保费/赔付支出,官方下载文件非有效Excel ZIP结构，LibreOffice亦无法读取；未用非白名单镜像填补。,监管总局_保险业经营情况表_2023-12.xlsx
2024-09,银保监会保险业经营情况表,财产险原保险保费/赔付支出,官方下载文件非有效Excel ZIP结构，LibreOffice亦无法读取；未用非白名单镜像填补。,监管总局_保险业经营情况表_2024-09.xlsx
2022,平安产险年报/季度报告,赔案频率、案均赔款,白名单公开报告未按可比口径连续披露；已保留为数据缺口，未假设。,见各期年报及偿付能力报告
2023,平安产险年报/季度报告,赔案频率、案均赔款,白名单公开报告未按可比口径连续披露；已保留为数据缺口，未假设。,见各期年报及偿付能力报告
2024,平安产险年报/季度报告,赔案频率、案均赔款,白名单公开报告未按可比口径连续披露；已保留为数据缺口，未假设。,见各期年报及偿付能力报告
2025,平安产险年报/季度报告,赔案频率、案均赔款,白名单公开报告未按可比口径连续披露；已保留为数据缺口，未假设。,见各期年报及偿付能力报告
2026Q1,平安产险年报/季度报告,赔案频率、案均赔款,白名单公开报告未按可比口径连续披露；已保留为数据缺口，未假设。,见各期年报及偿付能力报告
