period,entity,scope,accounting_basis,metric,value,unit,status,source_file,source_page,source_table,note
2022-01,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,1406.12,亿元,直接披露,监管总局_保险业经营情况表_2022-01.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,原表单位亿元。
2022-01,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,713.68,亿元,直接披露,监管总局_保险业经营情况表_2022-01.xlsx,Excel工作表《保险业经营数据（月度）》,第13行（财产险）,原表单位亿元。
2022-01,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,50.7553,%,推算,监管总局_保险业经营情况表_2022-01.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,【推算：50.7553%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2022-01.xlsx，工作表《保险业经营数据（月度）》第13行与第5行】
2022-03,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,3245.97,亿元,直接披露,监管总局_保险业经营情况表_2022-03.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,原表单位亿元。
2022-03,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,1784.0,亿元,直接披露,监管总局_保险业经营情况表_2022-03.xlsx,Excel工作表《保险业经营数据（月度）》,第13行（财产险）,原表单位亿元。
2022-03,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,54.9605,%,推算,监管总局_保险业经营情况表_2022-03.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,【推算：54.9605%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2022-03.xlsx，工作表《保险业经营数据（月度）》第13行与第5行】
2022-05,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,5188.09,亿元,直接披露,监管总局_保险业经营情况表_2022-05.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,原表单位亿元。
2022-05,中国保险业,财产险全行业累计,监管统计口径,原保险赔付支出_YTD,2869.88,亿元,直接披露,监管总局_保险业经营情况表_2022-05.xlsx,Excel工作表《保险业经营数据（月度）》,第13行（财产险）,原表单位亿元。
2022-05,中国保险业,财产险全行业累计,监管统计口径,简单赔付率代理值_YTD（推算）,55.3167,%,推算,监管总局_保险业经营情况表_2022-05.xlsx,Excel工作表《保险业经营数据（月度）》,第13行÷第5行,【推算：55.3167%｜方法：原保险赔付支出_YTD÷原保险保费收入_YTD×100｜输入来源：监管总局_保险业经营情况表_2022-05.xlsx，工作表《保险业经营数据（月度）》第13行与第5行】
2022-06,中国保险业,财产险全行业累计,监管统计口径,原保险保费收入_YTD,6566.47,亿元,直接披露,监管总局_保险业经营情况表_2022-06.xlsx,Excel工作表《保险业经营数据（月度）》,第5行（财产险）,原表单位亿元。
