sample_no,population_index,period,entity,scope,metric,csv_value,source_recheck_value,unit,result,source_file,source_page,source_table,recheck_method
1,10,2022,平安产险,年度整体,赔付率,69.9,69.9,%,一致,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
2,15,2022,平安产险,年度整体,总投资收益率,2.8,2.8,%,一致,中国平安_年报_2022.pdf,PDF 第35页（报告印刷页码31）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
3,21,2022R,平安产险,年度整体,综合成本率,99.6,99.6,%,一致,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
4,24,2022R,平安产险,年度整体,总投资收益,10014,10014,人民币百万元,一致,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
5,27,2022R,平安产险,年度整体,营运利润,10112,10112,人民币百万元,一致,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
6,30,2022R,平安产险,年度整体,意外及健康险保险服务收入,24110,24110,人民币百万元,一致,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
7,35,2023,平安产险,年度整体,承保利润,-2083,-2083,人民币百万元,一致,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
8,45,2023,平安产险,年度整体,意外及健康险保险服务收入,21879,21879,人民币百万元,一致,中国平安_年报_2023.pdf,PDF 第27页（报告印刷页码23）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
9,46,2024,平安产险,年度整体,保险服务收入,328146,328146,人民币百万元,一致,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
10,47,2024,平安产险,年度整体,保险服务费用,-314356,-314356,人民币百万元,一致,中国平安_年报_2024.pdf,PDF 第46页（报告印刷页码42）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
11,60,2025,平安产险,年度整体,分出再保险净损益,-4014,-4014,人民币百万元,一致,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,经营业绩/产险业务分析表,回到所列PDF原页二次OCR/目视复核
12,70,2022,平安产险,年末偿付能力,核心偿付能力充足率,177.6,177.6,%,一致,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,偿付能力数据表,回到所列PDF原页二次OCR/目视复核
13,81,2025,平安产险,年末偿付能力,综合偿付能力充足率,217.1,217.1,%,一致,中国平安_年报_2025.pdf,PDF 第57页（报告印刷页码53）,偿付能力数据表,回到所列PDF原页二次OCR/目视复核
14,90,2022,平安产险,车险,责任准备金,174330,174330,人民币百万元,一致,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,回到所列PDF原页二次OCR/目视复核
15,94,2022,平安产险,保证保险,承保利润,-9013,-9013,人民币百万元,一致,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,回到所列PDF原页二次OCR/目视复核
16,102,2022,平安产险,责任保险,责任准备金,22529,22529,人民币百万元,一致,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,回到所列PDF原页二次OCR/目视复核
17,105,2022,平安产险,意外伤害险,赔付支出,-6809,-6809,人民币百万元,一致,中国平安_年报_2022.pdf,PDF 第37页（报告印刷页码33）,按险种划分的经营业绩表,回到所列PDF原页二次OCR/目视复核
18,139,2023,平安产险,企业财产险,原保险保费收入,9423,9423,人民币百万元,一致,中国平安_年报_2023.pdf,PDF 第29页（报告印刷页码25）,按险种划分的经营业绩表,回到所列PDF原页二次OCR/目视复核
19,160,2024,平安产险,责任保险,承保利润,-644,-644,人民币百万元,一致,中国平安_年报_2024.pdf,PDF 第45页（报告印刷页码41）,按险种划分的经营业绩表,回到所列PDF原页二次OCR/目视复核
