record_type,period,entity,metric,value,unit,status,formula,input_sources,note
比率变动,2022R→2023,平安产险,综合成本率改善,-1.1,个百分点,推算,99.6%-100.7%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,【推算：-1.1个百分点｜方法：99.6%-100.7%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2022R→2023,平安产险,费用率改善,-0.9,个百分点,推算,28.3%-29.2%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,【推算：-0.9个百分点｜方法：28.3%-29.2%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2022R→2023,平安产险,赔付率改善,-0.2,个百分点,推算,71.3%-71.5%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,【推算：-0.2个百分点｜方法：71.3%-71.5%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2024,平安产险,综合成本率改善,2.4,个百分点,推算,100.7%-98.3%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表,【推算：2.4个百分点｜方法：100.7%-98.3%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2024,平安产险,费用率改善,1.9,个百分点,推算,29.2%-27.3%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表,【推算：1.9个百分点｜方法：29.2%-27.3%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2024,平安产险,赔付率改善,0.5,个百分点,推算,71.5%-71.0%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表,【推算：0.5个百分点｜方法：71.5%-71.0%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2024→2025,平安产险,综合成本率改善,1.5,个百分点,推算,98.3%-96.8%,中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,【推算：1.5个百分点｜方法：98.3%-96.8%｜输入来源：中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2024→2025,平安产险,费用率改善,0.9,个百分点,推算,27.3%-26.4%,中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,【推算：0.9个百分点｜方法：27.3%-26.4%｜输入来源：中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2024→2025,平安产险,赔付率改善,0.6,个百分点,推算,71.0%-70.4%,中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,【推算：0.6个百分点｜方法：71.0%-70.4%｜输入来源：中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2025,平安产险,综合成本率改善,3.9,个百分点,推算,100.7%-96.8%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,【推算：3.9个百分点｜方法：100.7%-96.8%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2025,平安产险,费用率改善,2.8,个百分点,推算,29.2%-26.4%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,【推算：2.8个百分点｜方法：29.2%-26.4%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2025,平安产险,赔付率改善,1.1,个百分点,推算,71.5%-70.4%,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,【推算：1.1个百分点｜方法：71.5%-70.4%｜输入来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表；中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2022R→2023,人保财险,综合成本率改善,-1.2,个百分点,推算,96.6%-97.8%,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,【推算：-1.2个百分点｜方法：96.6%-97.8%｜输入来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2022R→2023,人保财险,费用率改善,0.0,个百分点,推算,27.2%-27.2%,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,【推算：0.0个百分点｜方法：27.2%-27.2%｜输入来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2022R→2023,人保财险,赔付率改善,-1.2,个百分点,推算,69.4%-70.6%,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,【推算：-1.2个百分点｜方法：69.4%-70.6%｜输入来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2024,人保财险,综合成本率改善,-1.0,个百分点,推算,97.8%-98.8%,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表,【推算：-1.0个百分点｜方法：97.8%-98.8%｜输入来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2024,人保财险,费用率改善,1.4,个百分点,推算,27.2%-25.8%,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表,【推算：1.4个百分点｜方法：27.2%-25.8%｜输入来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2023→2024,人保财险,赔付率改善,-2.4,个百分点,推算,70.6%-73.0%,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表,【推算：-2.4个百分点｜方法：70.6%-73.0%｜输入来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表；人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2024→2025,人保财险,综合成本率改善,1.3,个百分点,推算,98.8%-97.5%,人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表；人保财险_年报_2025.pdf，PDF 第14页（报告印刷页码12），承保业绩表,【推算：1.3个百分点｜方法：98.8%-97.5%｜输入来源：人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表；人保财险_年报_2025.pdf，PDF 第14页（报告印刷页码12），承保业绩表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
比率变动,2024→2025,人保财险,费用率改善,2.2,个百分点,推算,25.8%-23.6%,人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表；人保财险_年报_2025.pdf，PDF 第14页（报告印刷页码12），承保业绩表,【推算：2.2个百分点｜方法：25.8%-23.6%｜输入来源：人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表；人保财险_年报_2025.pdf，PDF 第14页（报告印刷页码12），承保业绩表】 正数表示改善，负数表示恶化；基于披露的一位小数，可受四舍五入影响。
