record_type,period,entity,metric,value,unit,status,formula,input_sources,note
年度输入,2022R,平安产险,整体保险服务收入,294222.187667,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）
年度输入,2022R,平安产险,保证险保险服务收入,28358.510941,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）
年度输入,2022R,平安产险,保证险分部营业利润,-7254.570766,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）
年度输入,2022R,平安产险,保证险分部其他收益,0.109668,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）
年度结果,2022R,平安产险,整体承保利润,1081.453883,人民币百万元,推算,四个保险分部营业利润合计(6925.488157+1464.312290+194.135447+-7254.570766)-四个保险分部其他收益合计(195.051871+3.020475+49.729231+0.109668),平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,【推算：1081.453883人民币百万元｜方法：四个保险分部营业利润合计(6925.488157+1464.312290+194.135447+-7254.570766)-四个保险分部其他收益合计(195.051871+3.020475+49.729231+0.109668)｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）】 与集团年报披露的百万元整数承保利润勾稽，差异仅为四舍五入。
年度结果,2022R,平安产险,保证险承保利润,-7254.680434,人民币百万元,推算,保证险分部营业利润-7254.570766-其他收益0.109668,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,【推算：-7254.680434人民币百万元｜方法：保证险分部营业利润-7254.570766-其他收益0.109668｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）】
年度结果,2022R,平安产险,整体COR_精确底数推算,99.632,%,推算,(1-整体承保利润1081.453883/整体保险服务收入294222.187667)×100,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：99.632%｜方法：(1-整体承保利润1081.453883/整体保险服务收入294222.187667)×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】 用于精确贡献测算；与集团年报一位小数披露值相符。
年度结果,2022R,平安产险,保证险COR,125.582,%,推算,(1-保证险承保利润-7254.680434/保证险保险服务收入28358.510941)×100,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：125.582%｜方法：(1-保证险承保利润-7254.680434/保证险保险服务收入28358.510941)×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
年度结果,2022R,平安产险,保证险保险服务收入权重,9.638,%,推算,保证险保险服务收入28358.510941/整体保险服务收入294222.187667×100,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,【推算：9.638%｜方法：保证险保险服务收入28358.510941/整体保险服务收入294222.187667×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）】
年度结果,2022R,平安产险,保证险对整体COR的拖累_正值拖累负值增益,2.466,个百分点,推算,-保证险承保利润-7254.680434/整体保险服务收入294222.187667×100,平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）,【推算：2.466个百分点｜方法：-保证险承保利润-7254.680434/整体保险服务收入294222.187667×100｜输入来源：平安产险_年度信息披露报告_2023.pdf，PDF第120页，分部报告（2022年度已重述）】 等价于保证险收入权重×(保证险COR-100%)。
