record_type,scenario_x_pp,share_change_pp,metric,value,unit,status,formula,input_sources,note
input,,,2025新能源汽车保费,52480,RMB mn,direct,,S1,中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据
input,,,2025车险原保险保费,230362,RMB mn,direct,,S2,中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种
derived,,,2025新能源保费占比,0.22781535149026316,%,derived,NEV premium / total auto premium,S1/S2,"【推算：22.7815%｜方法：52,480/230,362｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种】"
derived,,,2024新能源保费占比,0.16907848905044418,%,derived,"52,480/(1+39.0%)/223,301",S1/S2,"【推算：16.9078%｜方法：52,480/(1+39.0%)/223,301｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种】"
derived,,,2024→2025新能源保费占比提升,5.873686243981899,pct,derived,2025 share - 2024 share,S1/S2,【推算：5.8737pct｜方法：22.7815%-16.9078%｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种】
scenario,0,1,每+1pct占比的整体COR拖累,0,pp,sensitivity,1% * x,A1,【推算：0.0000pp｜方法：1%×0pp｜输入来源：用户确认假设A1】
scenario,0,5.873686243981899,2024→2025实际占比变化的整体COR拖累,0,pp,sensitivity,actual share change * x,S1/S2/A1,【推算：0.0000pp｜方法：5.8737%×0pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,0,,2025隐含燃油车COR,0.958,%,algebraic,total COR - NEV share*x,S1/S2/A1,【推算：95.8000%｜方法：95.8%−22.7815%×0pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,0,,2025隐含新能源车COR,0.958,%,algebraic,total COR + (1-NEV share)*x,S1/S2/A1,【推算：95.8000%｜方法：95.8%+(1−22.7815%)×0pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,1,1,每+1pct占比的整体COR拖累,0.01,pp,sensitivity,1% * x,A1,【推算：0.0100pp｜方法：1%×1pp｜输入来源：用户确认假设A1】
scenario,1,5.873686243981899,2024→2025实际占比变化的整体COR拖累,0.05873686243981899,pp,sensitivity,actual share change * x,S1/S2/A1,【推算：0.0587pp｜方法：5.8737%×1pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,1,,2025隐含燃油车COR,0.9557218464850973,%,algebraic,total COR - NEV share*x,S1/S2/A1,【推算：95.5722%｜方法：95.8%−22.7815%×1pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,1,,2025隐含新能源车COR,0.9657218464850973,%,algebraic,total COR + (1-NEV share)*x,S1/S2/A1,【推算：96.5722%｜方法：95.8%+(1−22.7815%)×1pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,2,1,每+1pct占比的整体COR拖累,0.02,pp,sensitivity,1% * x,A1,【推算：0.0200pp｜方法：1%×2pp｜输入来源：用户确认假设A1】
scenario,2,5.873686243981899,2024→2025实际占比变化的整体COR拖累,0.11747372487963798,pp,sensitivity,actual share change * x,S1/S2/A1,【推算：0.1175pp｜方法：5.8737%×2pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
scenario,2,,2025隐含燃油车COR,0.9534436929701947,%,algebraic,total COR - NEV share*x,S1/S2/A1,【推算：95.3444%｜方法：95.8%−22.7815%×2pp｜输入来源：中国平安_年报_2025.pdf，PDF第54页（报告印刷页码50），车险经营数据；中国平安_年报_2025.pdf，PDF第58页（报告印刷页码54），原保险保费按险种；用户确认假设A1】
