record_type,period,scope,metric,value,unit,status,formula,input_sources,note
input,2023,整体,保险服务收入,313457.529726,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）
input,2023,车险,保险服务收入,209538,人民币百万元,直接披露,直接读取,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表
input,2023,保证险,保险服务收入,22002.723838,人民币百万元,直接披露,直接读取,平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）,直接披露；来源：平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）
input,2023,责任险,保险服务收入,21848,人民币百万元,直接披露,直接读取,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表
input,2023,责任险,承保利润,-1373,人民币百万元,直接披露,直接读取,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表
input,2023,责任险,综合成本率,106.3,%,直接披露,直接读取,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表,直接披露；来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表
derived,2023,整体,承保利润,-2082.869232,人民币百万元,推算,四分部营业利润合计−四分部其他收益合计,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：-2082.869232人民币百万元｜方法：四分部营业利润合计−四分部其他收益合计｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,整体,综合成本率,100.66448211782333,%,推算,(1−整体承保利润/整体保险服务收入)×100,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：100.664482%｜方法：(1−整体承保利润/整体保险服务收入)×100｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,车险,承保利润,4732.423694,人民币百万元,推算,车险分部营业利润−车险其他收益,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：4732.423694人民币百万元｜方法：车险分部营业利润−车险其他收益｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,车险,综合成本率,97.74149619925741,%,推算,(1−车险承保利润/车险保险服务收入)×100,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：97.741496%｜方法：(1−车险承保利润/车险保险服务收入)×100｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
derived,2023,意健险,保险服务收入,21879,人民币百万元,推算,健康险收入+意外险收入,中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式,【推算：21879.000000人民币百万元｜方法：健康险收入+意外险收入｜输入来源：中国平安_年报_2023.pdf，PDF第29页（报告印刷页码25），按险种划分的经营业绩表；平安产险_年度信息披露报告_2023.pdf，PDF第118页，分部报告（2023年度）；中国平安_年报_2025.pdf，PDF第56页（报告印刷页码52），综合成本率公式】
