record_type,period,entity,metric,value,unit,status,formula,input_sources,note
input,2022R,平安产险,综合成本率,99.6,%,直接披露,直接读取,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表
input,2022R,平安产险,赔付率,71.3,%,直接披露,直接读取,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表
input,2022R,平安产险,费用率,28.3,%,直接披露,直接读取,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表
input,2023,平安产险,综合成本率,100.7,%,直接披露,直接读取,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表
input,2023,平安产险,赔付率,71.5,%,直接披露,直接读取,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表
input,2023,平安产险,费用率,29.2,%,直接披露,直接读取,中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2023.pdf，PDF 第27页（报告印刷页码23），经营业绩/产险业务分析表
input,2024,平安产险,综合成本率,98.3,%,直接披露,直接读取,中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表
input,2024,平安产险,赔付率,71,%,直接披露,直接读取,中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表
input,2024,平安产险,费用率,27.3,%,直接披露,直接读取,中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2024.pdf，PDF 第46页（报告印刷页码42），经营业绩/产险业务分析表
input,2025,平安产险,综合成本率,96.8,%,直接披露,直接读取,中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表
input,2025,平安产险,赔付率,70.4,%,直接披露,直接读取,中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表
input,2025,平安产险,费用率,26.4,%,直接披露,直接读取,中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表,直接披露；来源：中国平安_年报_2025.pdf，PDF 第57页（报告印刷页码53），经营业绩/产险业务分析表
input,2022R,人保财险,综合成本率,96.6,%,直接披露,直接读取,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,直接披露；来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表
input,2022R,人保财险,赔付率,69.4,%,直接披露,直接读取,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,直接披露；来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表
input,2022R,人保财险,费用率,27.2,%,直接披露,直接读取,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,直接披露；来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表
input,2023,人保财险,综合成本率,97.8,%,直接披露,直接读取,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,直接披露；来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表
input,2023,人保财险,赔付率,70.6,%,直接披露,直接读取,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,直接披露；来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表
input,2023,人保财险,费用率,27.2,%,直接披露,直接读取,人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表,直接披露；来源：人保财险_年报_2023.pdf，PDF 第13页（报告印刷页码11），承保业绩表
input,2024,人保财险,综合成本率,98.8,%,直接披露,直接读取,人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表,直接披露；来源：人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表
input,2024,人保财险,赔付率,73,%,直接披露,直接读取,人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表,直接披露；来源：人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表
input,2024,人保财险,费用率,25.8,%,直接披露,直接读取,人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表,直接披露；来源：人保财险_年报_2024.pdf，PDF 第14页（报告印刷页码12），承保业绩表
input,2025,人保财险,综合成本率,97.5,%,直接披露,直接读取,人保财险_年报_2025.pdf，PDF 第14页（报告印刷页码12），承保业绩表,直接披露；来源：人保财险_年报_2025.pdf，PDF 第14页（报告印刷页码12），承保业绩表
